" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"551311","Fabrics, woven; plain weave, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170g/m2, unbleached or bleached","551311","Plain weave fabrics, <85% polyester fibres + co"
"551312","Fabrics, woven; 3-thread or 4-thread twill, of polyester staple fibres, containing less than 85% by weight of such, mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached","551312","3 or 4-thread twill, <85% polyester staple fibr"
"551313","Fabrics, woven; of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached","551313","Woven fabrics, nes, <85% polyester staple fibre"
"551319","Fabrics, woven; containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2, unbleached or bleached","551319","Woven fabrics, <85% synthetic staple fibres + c"
"551321","Fabrics, woven; plain weave, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2","551321","Dyed plain weave fabrics, <85% polyester fibres"
"551323","Fabrics, woven; dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2","551323","Dyed woven fabrics, nes, <85% polyester fibres"
"551329","Fabrics, woven; dyed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2","551329","Dyed woven fabrics, <85% synthetic fibres + cot"
"551331","Fabrics, woven; plain weave, of yarns of different colours, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2","551331","Coloured plain weave fabrics, <85% polyester fi"
"551339","Fabrics, woven; of yarns of different colours, containing less than 85% of synthetic staple fibres (other than polyester, plain weave), mixed mainly or solely with cotton, not exceeding 170g/m2","551339","Coloured woven fabrics, <85% synthetic fibres +"
"551341","Fabrics, woven; plain weave, printed, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2","551341","Printed plain weave fabrics, <85% polyester fib"
"551349","Fabrics, woven; printed, containing less than 85% by weight of synthetic staple fibres (other than polyester, plain weave), mixed mainly or solely with cotton, not exceeding 170g/m2","551349","Printed woven fabrics, <85% synthetic fibres +"
"551411","Fabrics, woven; plain weave, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2","551411","Plain weave fabrics, <85% polyester staple fibr"
"551412","Fabrics, woven; 3- or 4-thread twill, including cross twill, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, over 170g/m2","551412","3 or 4-thread twill, <85% polyester staple fibr"
"551419","Fabrics, woven; unbleached or bleached, containing less than 85% by weight of synthetic staple fibres n.e.c. in item no. 55.14.1, mixed mainly or solely with cotton, exceeding 170g/m2","551419","Woven fabrics, <85% synthetic staple fibres + c"
"551421","Fabrics, woven; plain weave, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2","551421","Dyed plain weave fabrics, <85% polyester fibres"
"551422","Fabrics, woven; 3- or 4-thread twill, including cross twill, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2","551422","Dyed 3 or 4-thread twill, <85% polyester fibres"
"551423","Fabrics, woven; dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2, n.e.c. in heading no. 5514","551423","Dyed woven fabrics, nes, <85% polyester fibres"
"551429","Fabrics, woven; dyed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2","551429","Dyed woven fabrics, <85% synthetic fibres + cot"
"551430","Fabrics, woven; of yarns of different colours, containing less than 85% by weight of synthetic staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2","551433","Coloured woven fabrics, nes, <85% polyester fib"
"551441","Fabrics, woven; plain weave, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2","551441","Printed plain weave fabrics, <85% polyester fib"
"551442","Fabrics, woven; 3- or 4-thread twill, including cross twill, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2","551442","Printed 3 or 4-thread twill, <85% polyester fib"
"551443","Fabrics, woven; printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, weight exceeding 170g/m2, n.e.c. in heading no. 5514","551443","Printed woven fabrics, nes, <85% polyester fibr"
"551449","Fabrics, woven; printed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2","551449","Printed woven fabrics, <85% synthetic fibres +"
"551511","Fabrics, woven; of polyester staple fibres n.e.c. in chapter 55, mixed mainly or solely with viscose rayon staple fibres","551511","Woven fabrics, <85% polyester staple fibres, wi"
"551512","Fabrics, woven; of polyester staple fibres n.e.c. in chapter 55, mixed mainly or solely with man-made filaments","551512","Woven fabrics of polyester staple fibres, mixed"
"551513","Fabrics, woven; of polyester staple fibres n.e.c. in chapter 55, mixed mainly or solely with wool or fine animal hair","551513","Woven fabrics of polyester staple fibres, mixed"
"551519","Fabrics, woven; of polyester staple fibres n.e.c. in chapter 55, mixed mainly or solely with fibres n.e.c. in item no. 5515.1","551519","Woven fabrics of polyester staple fibres, nes"
"551521","Fabrics, woven; of acrylic or modacrylic staple fibres n.e.c. in chapter 55, mixed mainly or solely with man-made filaments","551521","Woven fabrics of acrylic or modacrylic fibres,"
"551522","Fabrics, woven; of acrylic or modacrylic staple fibres n.e.c. in chapter 55, mixed mainly or solely with wool or fine animal hair","551522","Woven fabrics of acrylic or modacrylic fibres,"
"551529","Fabrics, woven; of acrylic or modacrylic staple fibres n.e.c. in chapter 55, mixed mainly or solely with fibres n.e.c. in item no. 5515.2","551529","Woven fabrics of acrylic or modacrylic staple f"
"551591","Fabrics, woven; of synthetic staple fibres n.e.c. in chapter 55, mixed mainly or solely with man-made filaments","551591","Woven fabrics of synthetic staple fibres, nes,"
"551599","Fabrics, woven; of synthetic staple fibres n.e.c. in chapter 55, mixed mainly or solely with fibres n.e.c. in heading no. 5515","551599","Woven fabrics of synthetic staple fibres, nes"
"551611","Fabrics, woven; unbleached or bleached, containing 85% or more by weight of artificial staple fibres","551611","Unbleached or bleached woven fabrics, >=85% art"
"551612","Fabrics, woven; dyed, containing 85% or more by weight of artificial staple fibres","551612","Dyed woven fabrics, >=85% artificial staple fib"
"551613","Fabrics, woven; of yarns of different colours, containing 85% or more by weight of artificial staple fibres","551613","Coloured woven fabrics, >=85% artificial staple"
"551614","Fabrics, woven; printed, containing 85% or more by weight of artificial staple fibres","551614","Printed woven fabrics, >=85% artificial staple"
