" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"900610","900610 -- (-2016) - Cameras of a kind used for preparing printing plates or cylinders","900610","Cameras of a kind used for preparing printing p"
"900620","900620 -- (-2006) - Cameras of a kind used for recording documents on microfilm, microfiche or other microforms","900620","Cameras of a kind used for recording doc on mic"
"900630","900630 --  - Cameras specially designed for underwater use, for aerial survey or for medical or surgical examination of internal organs; comparison cameras for forensic or criminological purposes","900630","Cameras designed for special use, underwater, a"
"900640","900640 --  - Instant print cameras","900640","Instant print cameras"
"900651","900651 --  -- With a through-the-lens viewfinder (single lens reflex (SLR)), for roll film of a width not exceeding 35 mm","900651","Cameras, single lens reflex, for roll film of a"
"900652","900652 --  -- Other, for roll film of a width less than 35 mm","900652","Cameras for roll film of a width less than 35 m"
"900653","900653 --  -- Other, for roll film of a width of 35 mm","900653","Cameras for roll film of a width of 35 mm, nes"
"900659","900659 --  -- Other","900659","Photographic, other than cinematographic camera"
"900661","900661 --  -- Discharge lamp (electronic) flashlight apparatus","900661","Photographic discharge lamp (electronic) flashl"
"900662","900662 -- (-2006) -- Flashbulbs, flashcubes and the like","900662","Flashbulbs, flashcubes and the like"
"900669","900669 --  -- Other","900669","Photographic flashlight apparatus, nes"
"900691","900691 --  -- For cameras","900691","Parts and accessories for photographic cameras"
"900699","900699 --  -- Other","900699","Parts and accessories for photographic flashlig"
"900710","900710 -- (2012-) - Cameras","900719","Cinematographic cameras, nes"
"900711","900711 -- (-2011) -- For film of less than 16 mm width or for double-8 mm film","900711","Cinematographic cameras for film of < 16 mm wid"
"900719","900719 -- (-2011) -- Other","900719","Cinematographic cameras, nes"
"900720","900720 -- (1996-) - Projectors","900729","Cinematographic projectors, nes"
"900721","900721 -- (-1995) For film of less than 16 mm width","900721","Cinematographic projectors for film of less tha"
"900729","900729 -- (-1995) Other","900729","Cinematographic projectors, nes"
"900791","900791 --  -- For cameras","900791","Parts and accessories for cinematographic camer"
"900792","900792 --  -- For projectors","900792","Parts and accessories for cinematographic proje"
"900810","900810 -- (-2011) - Slide projectors","900810","Slide projectors"
"900820","900820 -- (-2011) - Microfilm, microfiche or other microform readers, whether or not capable of producing copies","900820","Microfilm, microfiche or other microform reader"
"900830","900830 -- (-2011) - Other image projectors","900830","Image projectors, nes"
"900840","900840 -- (-2011) - Photographic (other than cinematographic) enlargers and reducers","900840","Photographic enlargers and reducers, other than"
"900850","900850 -- (2012-) - Projectors, enlargers and reducers","900830","Image projectors, nes"
"900890","900890 --  - Parts and accessories","900890","Parts and access of image projectors,enlargers&"
"900911","900911 -- (-2006) -- Operating by reproducing the original image directly onto the copy (direct process)","900911","Electrostatic photo-copying apparatus, direct p"
"900912","900912 -- (-2006) -- Operating by reproducing the original image via an intermediate onto the copy (indirect process)","900912","Electrostatic photo-copying apparatus, indirect"
"900921","900921 -- (-2006) -- Incorporating an optical system","900921","Photo-copying apparatus, incorporating an optic"
"900922","900922 -- (-2006) -- Of the contact type","900922","Contact type photo-copying apparatus,nes"
"900930","900930 -- (-2006) - Thermo-copying apparatus","900930","Thermo-copying apparatus"
"900990","900990 -- (-2001) - Parts and accessories","900990","Parts and accessories for photo-copying apparat"
"900991","900991 -- (2002-2006) -- Automatic document feeders","900990","Parts and accessories for photo-copying apparat"
"900992","900992 -- (2002-2006) -- Paper feeders","900990","Parts and accessories for photo-copying apparat"
"900993","900993 -- (2002-2006) -- Sorters","900990","Parts and accessories for photo-copying apparat"
"900999","900999 -- (2002-2006) -- Other","900990","Parts and accessories for photo-copying apparat"
